"id","submitdate","lastpage","startlanguage","seed","refurl","D1","D2","D3","D4","D5"
"11","1980-01-01 00:00:00","1","en","664882113","http://131.188.64.202/","A3","A4","easy:
- apart from the block definitions you give the complete pipeline in an easy unterstandable syntax with arrows, which makes it easy to get the main tasks of the pipeline
- the names of the given blocks and transforms are very good, so you already get the basic meaning of every block by only reading their names
- the blocks are sliced good, so that each block only does exactly one task

difficult:
- sometimes it is not quite clear what the blocks exactly do especially in the details (example: does the TableTransformer delete/consume the input column?)
- especially in a large pipeline a file might get really big because of all the definitions (especially unnecessary empty block definitions)","easy:
- the syntax of Python is very clean for example with only few brackets
difficult
- the method names are not always chosen good. Depending on the library it is not quite clear what each methods does
- the methods sometimes do many things at once (example: load to a sqlite file and automatically choose data types)","- the functional approach of Jayvee may be new to some people, and may confuse some people first (although it should be no problem once you experimented a bit with Jayvee)
- In Jayvee the blocks are structured and sliced very good as each block does exactly one task, while Python methods sometimes do multiple things at once
- In Jayvee everything (all blocks) are from the same source, while in Python there are many libraries with different method styles and documentation"
"12","1980-01-01 00:00:00","1","en","315141614","http://131.188.64.202/","A3","A4","According to me line by line approach make jayvee easy to understand.","In python, we have to understand the code properly. If someone do not know code perfectly then there is chance of the mistake.","in jayvee we have different block for the pipeline so that it is very easy to interpret. first we need to understand the idea then we can define the workflow and easily we can run the pipeline. in python, for the pipeline we have to search for the different library to run pipeline where as in jayvee, we have everything inside it."
"13","1980-01-01 00:00:00","1","en","1306867183","http://131.188.64.202/","A4","A3","","",""
"14","1980-01-01 00:00:00","1","en","1523782857","http://131.188.64.202/","A3","A2","new language.
must write it many times to get familiar.","just about practicing.","I think Jayvee has more  scripts and blocks.
python is really direct and short."
"15","1980-01-01 00:00:00","1","en","871689313","http://131.188.64.202/","A3","A4","I think validating a columns values, would be easier to understand if the format was specified in the block itself instead rather than in a valuetype/constraint, but it is not hard to understand this way either.","","Compared to Jayvee, many variables and reassigning them during the pipeline make the pipeline harder to understand and debug in Python."
"16","1980-01-01 00:00:00","1","en","617352731","http://131.188.64.202/","A4","A4","I find the descriptions in the documentation to be lacking. For example, the textfileinterpreter has only three words as a description. If I am using JV for the first time that is not going to help me understand much better.","Just the amount of online resources available for python make it a much easier language to get started with. The amount of libraries available in python also make it easily possible to do about anything with only a few lines of code.","The documentation and support from the python community"
"17","1980-01-01 00:00:00","1","en","935542157","http://131.188.64.202/","A4","A4","","",""
"18","1980-01-01 00:00:00","1","en","2059527232","http://131.188.64.202/","A3","A4","the difference in syntax was so interesting to me and to me it was somehow easier to write my pipeline in jayvee rather than to python.","python is the language i have written and worked with, so understanding it is easier in the first look.","the differencies in syntax sometimes make it harder to understand in the first look."
"19","1980-01-01 00:00:00","1","en","549994092","http://131.188.64.202/","A3","A4","The best part in jayvee is block type coding it is similar to LEGO and you can easily remember, read and write your code.","python is little difficult to read and its difficult to remember. ","jayvee is kind a block type language, its specific for data engineer and its build on node js that's give the jayvee plus point"
"20","1980-01-01 00:00:00","1","en","33171566","http://131.188.64.202/","A3","A3","You can see the overview of pipeline at the beginning of the code and it makes it easy to follow the code.","Syntax in python is really easy to understand ","python documentation is more understandable and more complete. There is not much examples of Jayvee code in the documentation and for new users it is hard to find what they want."
"21","1980-01-01 00:00:00","1","en","1654541760","http://131.188.64.202/","A3","A3","I'm not sure, but the name of some of the blocks in Javvee or python didn't match the task they were doing which made it confusing. But for this task, Jayvee was easier to understand.","It was not that hard to understand it, but a bit naming issue was making it hard. For example the translation one was more filtering than translating to English.","Jayvee is more limited, so the options are limited to implement something as well which makes it easier to understand if we see a new code. "
"23","1980-01-01 00:00:00","1","en","428690682","http://131.188.64.202/","A3","A2","The pipeline is easy to understand as jayvee is easy to understand and read. There are not lot of lines of code and keywords describe their uses. |","I have worked with python so I was aware what was going on in the code and nothing looked new to me. 
This was the main reason for finding it easier.","Differences between them: 
If I would have seen the code with no prior knowledge of both the languages I would find Jayvee more easy to understand."
"24","1980-01-01 00:00:00","1","en","1580773817","http://131.188.64.202/","A2","A4","code structured into blocks and self-explanatory methods and type names. Sequential arrangement and explicit mention of pipeline steps at the beginning of code.","some functions like lambda, list comprehension and implicit operations are not intuitive and requires documentation and comments to understand. ","python code would need comments to explain the steps. without comments the code seems a bit complicated and technical. Most of jayvee blocks are self explanatory and structured in a sequential manner."
