index,iteration,survey_response,codes_assigned,codes_created,codes_deleted,codes_changed_moved,codes_changed_meaning,codes_changed_misc,themes_created,themes_deleted,themes_changed
1,1,19,7,5,0,0,0,0,0,0,0
2,1,18,11,9,0,0,0,0,0,0,0
3,1,30,15,10,0,0,0,0,0,0,0
4,1,22,6,2,0,0,0,0,0,0,0
5,1,29,10,5,0,0,0,0,0,0,0
6,1,before sync,0,0,0,30,0,0,8,0,0
7,1,after sync,0,0,0,4,0,0,1,0,2
8,2,25,1,0,0,0,0,0,0,0,0
9,2,36,4,1,0,0,0,0,0,0,0
10,2,13,8,5,0,0,0,0,0,0,0
11,2,14,2,1,0,0,0,0,0,0,0
12,2,40,3,2,0,0,0,0,0,0,0
13,2,21,4,2,0,0,0,0,0,0,0
14,2,3,4,1,0,0,0,0,0,0,0
15,2,16,5,3,0,0,0,0,0,0,0
16,2,43,4,0,0,0,0,0,0,0,0
17,2,50,7,0,0,0,0,0,0,0,0
18,2,before sync,2,0,0,6,0,0,3,0,0
19,2,after sync,4,0,0,0,8,0,0,0,0
20,3,51,9,1,0,0,1,0,0,0,0
21,3,33,4,1,0,0,0,0,0,0,0
22,3,5,6,2,0,0,1,0,0,0,0
23,3,31,20,3,1,0,0,0,0,0,0
24,3,27,3,0,0,0,0,0,0,0,0
25,3,15,16,1,0,0,0,0,0,0,0
26,3,24,6,1,0,0,0,0,0,0,0
27,3,23,5,0,0,0,0,0,0,0,0
28,3,41,7,0,0,0,0,0,0,0,0
29,3,39,3,0,0,0,0,0,0,0,0
30,3,7,2,1,0,0,0,0,0,0,0
31,3,38,3,0,0,0,0,0,0,0,0
32,3,35,9,1,0,0,1,0,0,0,0
33,3,52,3,0,0,0,0,0,0,0,0
34,3,11,3,0,0,0,0,0,0,0,0
35,3,10,5,0,0,0,0,0,0,0,0
36,3,4,4,0,0,0,0,0,0,0,0
37,3,46,9,1,0,0,0,0,0,0,0
38,3,44,8,1,0,0,0,0,0,0,0
39,3,0,16,0,0,0,1,0,0,0,0
40,3,before sync,0,0,0,0,0,0,0,0,0
41,3,after sync,24,1,11,2,4,0,1,1,4
42,4,42,5,1,0,0,0,0,0,0,0
43,4,12,6,0,0,0,0,0,0,0,0
44,4,37,13,0,0,0,0,0,0,0,0
45,4,28,7,0,0,0,0,0,0,0,0
46,4,55,5,0,0,0,0,0,0,0,0
47,4,26,11,0,0,0,1,0,0,0,0
48,4,32,4,0,0,0,0,0,0,0,0
49,4,34,5,0,0,0,0,0,0,0,0
50,4,54,3,0,0,0,0,0,0,0,0
51,4,20,3,0,0,0,0,0,0,0,0
52,4,8,3,0,0,0,0,0,0,0,0
53,4,49,5,0,0,0,0,0,0,0,0
54,4,48,3,0,0,0,0,0,0,0,0
55,4,9,3,0,0,0,0,0,0,0,0
56,4,17,5,0,0,0,0,0,0,0,0
57,4,45,3,0,0,0,0,0,0,0,0
58,4,1,3,0,0,0,0,0,0,0,0
59,4,53,2,0,0,0,0,0,0,0,0
60,4,before sync,0,0,0,1,0,0,0,0,1
61,4,after sync,0,0,0,0,0,0,0,0,0
